Name,Latitude,Longitude,Platform / Entrance,Collected On,Line
Acton Town,51.5025,-0.278126,Platform,24/11/2006,"District, Piccadilly"
Acton Town,51.50883531,-0.263033174,Entrance,08/05/2007,London Overground
Acton Town,51.50856013,-0.262879534,Platform,08/05/2007,London Overground
Acton Town,51.51394,-0.07537,Aldgate High Street entrance,28/04/2007,Metropolitan
Acton Town,51.51514,-0.07178,Entrance,-2006,"District, Hammersmith & City"
Acton Town,51.54097,-0.30061,Platform,28/01/2007,Piccadilly
Acton Town,51.67435,-0.60732,Entrance,06/03/2007,Metropolitan
Acton Town,51.53253,-0.10579,Entrance,14/04/2007,Northern
Acton Town,51.56536,-0.13474,Junction Road entrance,24/04/2007,Northern
Acton Town,51.61625,-0.13355,Entrance,24/04/2007,Piccadilly
Acton Town,51.55847,-0.10561,outside Gillespie Road exit; the platforms are a long walk west in tunnel,05/05/2007,Piccadilly
Acton Town,51.52265,-0.15704,Circle/Hammersmith & City Entrance (probably),11/02/2006,"Circle, Hammersmith & City"
Acton Town,51.522236,-0.15708,Bakerloo/Jubilee Entrance,24/11/2006,"Bakerloo, Jubilee"
Acton Town,51.44344113,-0.152945844,Entrance,07/05/2007,Northern
Acton Town,51.5134047,-0.08905843,Entrance,10/10/2006,"Central, Waterloo & City"
Acton Town,51.520865,-0.097758,Entrance,06/04/2007,"Circle, Hammersmith & City, Metropolitan"
Acton Town,51.54079,0.08018,platforms,21/04/2007,"District, Hammersmith & City"
Acton Town,51.58543,0.08854,platforms,21/04/2007,Central
Acton Town,51.490281,-0.21434,Platform,24/11/2006,"Piccadilly, District"
Acton Town,51.51224,-0.187569,Entrance,14/05/2007,"Circle, District"
Acton Town,51.54029,0.1262,platforms,21/04/2007,District
Acton Town,51.55036,-0.16465,Entrance,06/05/2007,Northern
Acton Town,51.49813,-0.0635,Entrance,02/03/2007,Jubilee
Acton Town,51.52718,-0.05504,tube station entrance,12/05/2007,Central
Acton Town,51.5114403,-0.1041905,Entrance,30/10/2006,"Circle, District"
Acton Town,51.58698,-0.04104,Entrance Hall,15/08/2007,Victoria
Acton Town,51.51461,-0.14897,Entrance,16/02/2007,"Central, Jubilee"
Acton Town,51.50095,-0.09446,Entrance,31/07/2007,Northern
Acton Town,51.495371,-0.325573,Platform,24/11/2006,Piccadilly
Acton Town,51.607,-0.12418,Entrance,24/04/2007,Piccadilly
Acton Town,51.52709,-0.02482,Entrance,13/05/2007,"District, Hammersmith & City"
Acton Town,51.57693,-0.21414,Platform,06/05/2007,Northern
Acton Town,51.46239,-0.115421,Entrance,-2006,Victoria
Acton Town,51.52466,-0.01282,platforms,21/04/2007,"District, Hammersmith & City"
Acton Town,51.54505,-0.20297,London Overground platforms,05/05/2007,London Overground
Acton Town,51.5406,-0.21093,London Overground platforms,05/05/2007,London Overground
Acton Town,51.62611,0.04705,platforms,21/04/2007,Central
Acton Town,51.603,-0.26427,Platform,06/05/2007,Northern
Acton Town,51.5485,-0.11802,outside Caledonian Road exit,05/05/2007,Piccadilly
Acton Town,51.54326,-0.11544,London Overground platforms,05/05/2007,London Overground
Acton Town,51.54192,-0.13981,London Overground platforms,05/05/2007,London Overground
Acton Town,51.5393,-0.14316,Entrance,06/05/2007,Northern
Acton Town,51.49787 +/- 0.000011 (from 3 readings),-0.04967 +/- 0.000008 (from 3 readings),90º anticlockwise around dome from entrance,13/04/2007,East London
Acton Town,51.50362,-0.01987,LU Entrance,02/03/2007,Jubilee
Acton Town,51.51141,-0.09047,LU entrance,04/11/2006,"Circle, District"
Acton Town,51.54822,-0.09632,mainline platforms,07/03/2007,London Overground
Acton Town,51.6081,-0.29487,Platform,06/05/2007,Jubilee
Acton Town,51.66822,-0.56053,Entrance (car park side; don't know if there's an entrance on the other side),06/03/2007,Metropolitan
Acton Town,51.5439,-0.15384,Entrance,06/05/2007,Northern
Acton Town,51.51836,-0.11115,Entrance/exit 3,27/01/2007,Central
Acton Town,51.507108,-0.122963,Mainline Platforms,18/11/2006,"Bakerloo, Northern"
Acton Town,51.70522733,-0.610986426,Platform,05/05/2007,Metropolitan
Acton Town,51.61795,0.07511,platforms,21/04/2007,Central
Acton Town,51.49466,-0.26866,Platform,28/01/2007,District
Acton Town,51.65429872,-0.518373353,Platform,05/05/2007,Metropolitan
Acton Town,51.51416,-0.10335,Ludgate Hill exit,05/05/2007,Thameslink
Acton Town,51.46156,-0.13802,Entrance,-2006,Northern
Acton Town,51.46522,-0.1295,Entrance,-2006,Northern
Acton Town,51.45292257,-0.147562148,Entrance,07/05/2007,Northern
Acton Town,51.65117,-0.14811,platforms,02/05/2007,Piccadilly
Acton Town,51.59556,-0.24996,Platform,06/05/2007,Northern
Acton Town,51.41823649,-0.17800983,Entrance,07/05/2007,Northern
Acton Town,51.51308,-0.12427,Long Acre entrance,28/04/2007,Piccadilly
Acton Town,51.64733268,-0.441479115,Platform,05/05/2007,Metropolitan
Acton Town,51.54396,0.16439,platforms,21/04/2007,District
Acton Town,51.54173,0.14543,platforms,21/04/2007,District
Acton Town,51.54832,-0.07879,mainline platforms,07/03/2007,London Overground
Acton Town,51.64535,0.08364,platforms,21/04/2007,Central
Acton Town,51.5525,-0.23884,Entrance,25/11/2006,Jubilee
Acton Town,51.51482,-0.30118,Platform,27/01/2007,"Central, District"
Acton Town,51.50997,-0.28825,Platform,28/01/2007,"District, Piccadilly"
Acton Town,51.491521,-0.193906,Platform,24/11/2006,"District, Piccadilly"
Acton Town,51.51753,-0.24827,Platform,27/01/2007,Central
Acton Town,51.58729747,-0.164956323,southbound platform,27/09/2006,Northern
Acton Town,51.53931,0.0526,platforms,21/04/2007,"District, Hammersmith & City"
Acton Town,51.459015,-0.211138,Entrance,30/11/2006,District
Acton Town,51.57676,-0.39629,Platform,28/01/2007,"Metropolitan, Piccadilly"
Acton Town,51.61385,-0.27515,Platform,06/05/2007,Northern
Acton Town,51.51956,-0.169068,Entrance,24/11/2006,Bakerloo
Acton Town,51.49467,-0.10047,Entrance,-2006,"Bakerloo, Northern"
Acton Town,51.54969,0.19779,platforms,21/04/2007,District
Acton Town,51.50717,-0.12195,outside Thames Embankment exit,08/05/2007,"Bakerloo, Circle, District, Northern"
Acton Town,51.69365,0.11495,platforms,21/04/2007,Central
Acton Town,51.52774,-0.13303,??,11/02/2006,Northern
Acton Town,51.52584,-0.1357,??,11/02/2006,"Circle, Hammersmith & City, Metropolitan"
Acton Town,51.59634,0.09125,platforms,21/04/2007,Central
Acton Town,51.52036295,-0.105126482,C/H+C/M Platform,05/08/2006,"Circle, Hammersmith & City, Metropolitan"
Acton Town,51.520086,-0.104789,Entrance,18/10/2006,"Circle, Hammersmith & City, Metropolitan"
Acton Town,51.60102,-0.1924,??,10/02/2006,Northern
Acton Town,51.546701,-0.179867,Platform,10/10/2006,"Jubilee, Metropolitan"
Acton Town,51.54994,-0.18412,London Overground platforms,05/05/2007,London Overground
Acton Town,51.56498,-0.10543,"in bus station, near mainline entrance end",05/05/2007,"Piccadilly, Victoria"
Acton Town,51.48033,-0.19488,Platform,18/05/2007,District
Acton Town,51.57649,0.06637,Entrance Hall,15/08/2007,Central
Acton Town,51.49408266,-0.17295341,C/D platform,08/09/2006,"Circle, District, Piccadilly"
Acton Town,51.57249,-0.1941,Platform,06/05/2007,Northern
Acton Town,51.501248,-0.226776,Platform,07/04/2007,Hammersmith & City
Acton Town,51.5206,-0.13441,??,10/02/2006,Northern
Acton Town,51.55597,-0.15228,London Overground platforms,05/05/2007,London Overground
Acton Town,51.61326,0.09258,platforms,21/04/2007,Central
Acton Town,51.52391,-0.14397,??,11/02/2006,"Circle, Hammersmith & City, Metropolitan"
Acton Town,51.542346,-0.345903,Platform,18/02/2007,Central
Acton Town,51.49126844,-0.275554312,Platform,08/05/2007,District
Acton Town,51.50674,-0.14276,Entrance (south side of Piccadilly),12/04/2007,"Jubilee, Piccadilly, Victoria"
Acton Town,51.54689,-0.05784,mainline platforms,07/03/2007,London Overground
Acton Town,51.54348,-0.02474,mainline platforms,07/03/2007,London Overground
Acton Town,51.60288,0.09332,platforms,21/04/2007,Central
Acton Town,51.492328,-0.222825,Platform,24/11/2006,"District, Piccadilly"
Acton Town,51.55645,-0.17851,Entrance,06/05/2007,Northern
Acton Town,51.55533,-0.16656,London Overground platforms,05/05/2007,London Overground
Acton Town,51.53,-0.2929,Entrance,03/03/2007,Central
Acton Town,51.53628278,-0.257622488,Platform,05/05/2007,Bakerloo
Acton Town,51.59205973,-0.334725352,Platform,05/05/2007,Bakerloo
Acton Town,51.579335,-0.337052,Entrance Hall,18/10/2006,Metropolitan
Acton Town,51.466988,-0.423035,Entrance,24/11/2006,Piccadilly
Acton Town,51.4712899,-0.4527438,Central Bus Station Entrance,28/02/2007,Piccadilly
Acton Town,51.4594777,-0.44689658,Terminal Entrance,28/02/2007,Piccadilly
Acton Town,51.58346,-0.22653,Platform,06/05/2007,Northern
Acton Town,51.6506519,-0.194138166,Platform 2,27/09/2006,Northern
Acton Town,51.50034591,-0.192351664,Entrance,30/07/2006,"Circle, District"
Acton Town,51.54502,-0.10752,mainline platforms,07/03/2007,"London Overground, Victoria, Northern City"
Acton Town,51.57722,-0.14553,??,10/02/2006,Northern
Acton Town,51.55364,-0.45062,Platform,28/01/2007,"Metropolitan, Piccadilly"
Acton Town,51.51711,-0.12055,Entrance,27/01/2007,"Central, Piccadilly"
Acton Town,51.50722,-0.20553,Entrance,27/01/2007,Central
Acton Town,51.5529,-0.11278,Entrance,13/05/2007,Piccadilly
Acton Town,51.5471,-0.04323,mainline platforms,07/03/2007,
Acton Town,51.55387,0.21797,platforms,21/04/2007,District
Acton Town,51.47129,-0.365853,Platform,24/11/2006,Piccadilly
Acton Town,51.47354,-0.356,Platform,24/11/2006,Piccadilly
Acton Town,51.473689,-0.386471,Platform (North End),24/11/2006,Piccadilly
Acton Town,51.50313,-0.15278,at main entrance (on northern side of roundabout),01/05/2007,Piccadilly
Acton Town,51.56147,-0.44257,Platform,28/01/2007,"Metropolitan, Piccadilly"
Acton Town,51.48823,-0.10587,Entrance,-2006,Northern
Acton Town,51.53060655,-0.224253545,Platform,05/05/2007,Bakerloo
Acton Town,51.53387,-0.22145,London Overground platforms,05/05/2007,London Overground
Acton Town,51.49675,-0.20931,platforms,09/05/2007,District
Acton Town,51.55046,-0.14067,entrance,08/06/2007,Northern
Acton Town,51.54776,-0.14708,London Overground platforms,05/05/2007,London Overground
Acton Town,51.58173809,-0.316870809,Platform,05/05/2007,Bakerloo
Acton Town,51.47725641,-0.284980014,Platform,08/05/2007,District
Acton Town,51.5471715,-0.205002,Platform,10/10/2006,Jubilee
Acton Town,51.53495818,-0.193963023,Entrance,05/05/2007,Bakerloo
Acton Town,51.53057,-0.12399,between King's Cross exit and main tube entrance,05/05/2007,"Piccadilly, Circle, Victoria, Northern, Metropolitan, Hammersmith & City"
Acton Town,51.5308,-0.12044,Pentonville Road exit,05/05/2007,Thameslink
Acton Town,51.58422,-0.2788,Platform,06/05/2007,Jubilee
Acton Town,51.50169,-0.1603,Between Sloane Street and Knightsbridge entrances,01/05/2007,Piccadilly
Acton Town,51.5173,-0.21114,Platform,07/04/2007,Hammersmith & City
Acton Town,51.49894,-0.11216,Entrance,31/07/2007,Bakerloo
Acton Town,51.512083,-0.175067,Entrance,14/05/2007,Central
Acton Town,51.513125,-0.218428,Platform,07/04/2007,Hammersmith & City
Acton Town,51.51148,-0.12849,??,10/02/2006,"Northern, Piccadilly"
Acton Town,51.556483,-0.005669,Entrance,21/10/2006,Central
Acton Town,51.56828,0.00739,Entrance,-2006,Central
Acton Town,51.517675,-0.082458,??,05/08/2006,Central
Acton Town,51.505353,-0.084826,Mainline Through Platforms,18/11/2006,"Jubilee, Northern"
Acton Town,51.6417,0.05583,platforms,21/04/2007,Central
Acton Town,51.52989409,-0.185888819,Entrance,05/05/2007,Bakerloo
Acton Town,51.57038,-0.09601,on top of ticket hall,29/04/2007,Piccadilly
Acton Town,51.51256,-0.09397,Queen Victoria Street entrance,18/05/2007,"Circle, District"
Acton Town,51.513597,-0.15869195,Entrance,12/08/2006,Central
Acton Town,51.52266,-0.162996,Entrance,24/11/2006,Bakerloo
Acton Town,51.525306,-0.033471,Entrance,18/11/2006,"Central, District, Hammersmith & City"
Acton Town,51.60892,-0.20965,Entrance,02/06/2007,Northern
Acton Town,51.510165,-0.085991,Entrance on Monument Street,13/04/2007,"Circle, District"
Acton Town,51.62970512,-0.432070848,Platform,05/05/2007,Metropolitan
Acton Town,51.51817,-0.08859,By Moorfields entrance,13/05/2007,"Northern, Circle, Hammersmith & City, Metropolitan, Northern City, Thameslink"
Acton Town,51.40222413,-0.194599126,Entrance,07/05/2007,Northern
Acton Town,51.53427,-0.13901,??,11/02/2006,Northern
Acton Town,51.55427,-0.25042,Platform,06/05/2007,Jubilee
Acton Town,51.477363,-0.0338817,Mainline platform,04/11/2006,East London
Acton Town,51.47585,-0.04049,ELL platform,07/05/2007,East London
Acton Town,51.57565,0.08927,platforms,21/04/2007,Central
Acton Town,51.5237,-0.26019,Platform,27/01/2007,Central
Acton Town,51.51807,-0.28838,Platform,28/01/2007,Piccadilly
Acton Town,51.50056,0.0036,Dome entrance,31/07/2007,Jubilee
Acton Town,51.58503612,-0.362595264,Platform,05/05/2007,Metropolitan
Acton Town,51.56258091,-0.304072648,Platform,05/05/2007,Bakerloo
Acton Town,51.499856,-0.313188,Platform,24/11/2006,Piccadilly
Acton Town,51.548054,-0.368257,Entrance,21/10/2006,Central
Acton Town,51.548467,-0.36968,Platform,21/10/2006,Central
Acton Town,51.57850117,-0.317857023,Platform,05/05/2007,Metropolitan
Acton Town,51.61098984,-0.423584422,Platform,05/05/2007,Metropolitan
Acton Town,51.60043795,-0.408812575,Platform,05/05/2007,Metropolitan
Acton Town,51.509028,-0.1962847,Entrance,14/05/2007,"Central, Circle, District"
Acton Town,51.64739,-0.13192,platforms,02/05/2007,Piccadilly
Acton Town,51.52618,-0.08751,??,20/02/2006,"Northern, Northern City"
Acton Town,51.481569,-0.35196,Platform,24/11/2006,Piccadilly
Acton Town,51.48214,-0.11284,Entrance,-2006,Northern
Acton Town,51.51517,-0.14119,Argyle Street entrance,27/01/2007,"Bakerloo, Central, Victoria"
Acton Town,51.51518466,-0.175538808,C/D Platform,30/07/2006,"Circle, District"
Acton Town,51.52671,-0.28417,Platform,28/01/2007,Piccadilly
Acton Town,51.47488,-0.20205,Platform,18/05/2007,District
Acton Town,51.536673,-0.32391,Platform,18/02/2007,Central
Acton Town,51.51022,-0.13392,Trocadero / Shaftesbury Avenue entrance,13/04/2007,"Piccadilly, Bakerloo"
Acton Town,51.489081,-0.133037,Entrance,24/11/2006,Victoria
Acton Town,51.59270271,-0.380539158,Platform,05/05/2007,Metropolitan
Acton Town,51.53122,0.01659,platforms,21/04/2007,"District, Hammersmith & City"
Acton Town,51.57229051,-0.295813875,Platform,05/05/2007,Metropolitan
Acton Town,51.46868,-0.2088141,East bound platform,30/11/2006,District
Acton Town,51.534179,-0.205257721,Platform,05/05/2007,Bakerloo
Acton Town,51.59437,-0.28655,Platform,06/05/2007,Jubilee
Acton Town,51.510484,-0.18705,Entrance,14/05/2007,Central
Acton Town,51.49419,-0.2356,Platform,24/11/2006,District
Acton Town,51.57534,-0.3724,Platform,28/01/2007,"Metropolitan, Piccadilly"
Acton Town,51.57618,0.04542,Entrance,15/08/2007,Central
Acton Town,51.52344,-0.14713,??,11/02/2006,Bakerloo
Acton Town,51.46343247,-0.302033247,Entrance,08/05/2007,District
Acton Town,51.4632474,-0.300618047,Platform,08/05/2007,District
Acton Town,51.64027898,-0.473521454,Platform,05/05/2007,Metropolitan
Acton Town,51.61691,0.04264,platforms,21/04/2007,Central
Acton Town,51.50089,-0.05211,Entrance,31/07/2007,East London
Acton Town,51.519383,-0.187785,Platform,07/04/2007,Hammersmith & City
Acton Town,51.57146,-0.42157,Platform,28/01/2007,"Metropolitan, Piccadilly"
Acton Town,51.560711,-0.410587,Platform,18/02/2007,Central
Acton Town,51.57349,-0.41185,Platform,28/01/2007,"Metropolitan, Piccadilly"
Acton Town,51.523243,-0.124336,Entrance,06/04/2007,Piccadilly
Acton Town,51.49971,-0.13394,Broadway exit,22/05/2007,"Circle, District"
Acton Town,51.58318,-0.07495,mainline platforms,07/03/2007,Victoria
Acton Town,51.51115,-0.05693,Tube Entrance,22/10/2007,East London
Acton Town,51.50474,-0.21881,Old ticket hall,27/01/2007,Central
Acton Town,51.506063,-0.226231,Platform,07/04/2007,Hammersmith & City
Acton Town,51.49258474,-0.156090904,C/D Platform,08/09/2006,"Central, District"
Acton Town,51.58002,0.02133,platforms,21/04/2007,Central
Acton Town,51.49960784,-0.270187631,Platform,08/05/2007,London Overground
Acton Town,51.500801,-0.307856,Platform,24/11/2006,Piccadilly
Acton Town,51.56461,-0.3521,Platform,28/01/2007,Piccadilly
Acton Town,51.494066,-0.172791,C/D Platform,24/11/2006,"Circle, District, Piccadilly"
Acton Town,51.57044666,-0.308566354,Platform,05/05/2007,Bakerloo
Acton Town,51.556795,-0.398708,Platform,18/02/2007,Central
Acton Town,51.41543048,-0.192262754,Entrance,07/05/2007,Northern
Acton Town,51.59088,0.02726,platforms,21/04/2007,Central
Acton Town,51.444941,-0.206466,Entrance,02/12/2006,District
Acton Town,51.6324,-0.12765,entrance,02/05/2007,Piccadilly
Acton Town,51.50384,-0.10478,Entrance,19/04/2007,Jubilee
Acton Town,51.53472,-0.17428,Entrance,31/07/2007,Jubilee
Acton Town,51.515285,-0.097598,Entrance,27/02/2007,Central
Acton Town,51.494935,-0.24619,Platform,24/11/2006,District
Acton Town,51.61895,-0.30241,Platform,06/05/2007,Jubilee
Acton Town,51.521884,-0.046546,Entrance,18/11/2006,"District, Hammersmith & City"
Acton Town,51.47224,-0.1227,Entrance,-2006,"Northern, Victoria"
Acton Town,51.54402388,-0.275978856,Platform,05/05/2007,Bakerloo
Acton Town,51.541208,-0.003776,Central Line Platform,18/11/2006,"Central, Jubilee, London Overground"
Acton Town,51.541146,-0.002675,Entrance,18/11/2006,"Central, Jubilee, London Overground"
Acton Town,51.556998,-0.335949,Entrance,31/10/2006,Piccadilly
Acton Town,51.55093,-0.31598,Platform,28/01/2007,Piccadilly
Acton Town,51.49365,-0.04816,Platforms,07/05/2007,"East London, Jubilee"
Acton Town,51.54333,-0.17436,Avenue Road entrance,31/07/2007,Jubilee
Acton Town,51.51114,-0.11341,Entrance,18/05/2007,"Circle, District"
Acton Town,51.67246,0.10354,platforms,21/04/2007,Central
Acton Town,51.43578971,-0.159635693,Entrance,07/05/2007,Northern
Acton Town,51.42780008,-0.167910811,Entrance,07/05/2007,Northern
Acton Town,51.5164,-0.13027,??,10/02/2006,"Central, Northern"
Acton Town,51.51672074,-0.13093911,Entrance,12/08/2006,"Central, Northern"
Acton Town,51.588878,-0.059808,Mainline Platform,27/01/2007,Victoria
Acton Town,51.63022,-0.17917,Entrance,24/04/2007,Northern
Acton Town,51.50991,-0.076813,Entrance,30/10/2006,"Circle, District"
Acton Town,51.55663,-0.13813,Entrance,02/06/2007,Northern
Acton Town,51.495143,-0.25406,Platform,24/11/2006,District
Acton Town,51.59031,-0.10308,entrance,16/05/2007,Piccadilly
Acton Town,51.55925,0.25177,platforms,21/04/2007,District
Acton Town,51.55847,0.23509,platforms,21/04/2007,District
Acton Town,51.53824,0.09998,platforms,21/04/2007,District
Acton Town,51.53514,0.03373,platforms,21/04/2007,"District, Hammersmith & City"
Acton Town,51.54687,-0.47725,Platform,28/01/2007,"Piccadilly, Metropolitan"
Acton Town,51.48603,-0.12369,Entrance,27/01/2007,Victoria
Acton Town,51.49662869,-0.14400853,C/D Platform,08/09/2006,"Circle, District, Victoria"
Acton Town,51.58293,-0.01996,mainline platforms,01/04/2007,Victoria
Acton Town,51.57565,0.02864,Entrance Hall,15/08/2007,Central
Acton Town,51.50451,-0.05607,Exit,07/05/2007,East London
Acton Town,51.5245,-0.1381,??,11/02/2006,"Northern, Victoria"
Acton Town,51.52329728,-0.183777837,Platform,05/05/2007,Bakerloo
Acton Town,51.50322,-0.11328,"W+C / Bakerloo / Northern Line entrance, platform 18",15/03/2007,"Bakerloo, Northern, Waterloo & City"
Acton Town,51.65741058,-0.41745306,Platform,05/05/2007,Metropolitan
Acton Town,51.55122817,-0.29577538,Platform,05/05/2007,Bakerloo
Acton Town,51.56355598,-0.279770242,Platform,05/05/2007,"Jubilee, Metropolitan"
Acton Town,51.51818,-0.28064,Platform,27/01/2007,Central
Acton Town,51.48681,-0.19475,Platform,18/05/2007,District
Acton Town,51.60922281,-0.188711152,Platform,27/09/2006,Northern
Acton Town,51.527917,0.004141,Platform,04/11/2006,"District, Hammersmith & City, Jubilee"
Acton Town,51.54678865,-0.191016868,Jubilee Line Entrance,08/05/2007,Jubilee
Acton Town,51.54657,-0.19055,Jubilee Line platform,06/05/2007,Jubilee
Acton Town,51.54755518,-0.190999685,NLL Entrance,08/05/2007,London Overground
Acton Town,51.54716,-0.19275,London Overground platform,05/05/2007,London Overground
Acton Town,51.5795432,-0.353144584,Platform,05/05/2007,Metropolitan
Acton Town,51.49085,-0.20532,Platform,24/11/2006,District
Acton Town,51.569324,-0.43674,Platform,18/02/2007,Central
Acton Town,51.520995,-0.201778,Platform,07/04/2007,Hammersmith & City
Acton Town,51.50121,-0.12489,Portcullis House exit,08/05/2007,"Circle, District, Jubilee"
Acton Town,51.512206,-0.224226,Platform,21/10/2006,Central
Acton Town,51.51946,-0.05951,Exit,07/05/2007,"District, East London, Hammersmith & City"
Acton Town,51.54919,-0.22106,Between entrances,25/11/2006,Jubilee
Acton Town,51.53181,-0.24235,London Overground platforms,05/05/2007,London Overground
Acton Town,51.53032031,-0.229378995,Platform (Bakerloo),05/05/2007,Bakerloo
Acton Town,51.422,-0.20544,Platform,18/05/2007,District
Acton Town,51.43391,-0.19864,Platform,18/05/2007,District
Acton Town,51.59709,-0.10939,Entrance,26/05/2007,Piccadilly
Acton Town,51.60582,0.03328,platforms,21/04/2007,Central
Acton Town,51.61817173,-0.185578888,Platform,27/09/2006,Northern
