name,categories,lat,long
salfords cricket club,Cricket Ground,51.210779418379474,-0.1739749486398467
TopFoto Gallery,Art Gallery,51.20673551667824,0.06242036819458008
Tonbridge Cricket Club,Cricket Ground,51.20654,0.271773
Longmead Stadium,Music Venue,51.2103319,0.2759165
Angelfest 4,General Entertainment,51.21138381958008,0.2700843811035156
SEOS Exhibition Arthur Ellis and Colin Anderson,Art Gallery,51.211554,0.294054
Sovereign Centre,General Entertainment,51.22161958106237,-0.207291699468761
Redfest,Music Venue,51.21793570455011,-0.14983568137358655
Golden Sugar Fantasy Nights Ltd,Event Service,51.2192594,0.245828
Hadlow Village Hall,Theater,51.22285996878653,0.3359632621799313
art matters,Art Gallery,51.230011,-0.172808
Showtimers,Theater,51.2289905548096,-0.132141709327698
Everyman Reigate,Indie Movie Theater,51.236862925887166,-0.20415554084933968
Rugby Tots,General Entertainment,51.24296491460642,-0.20302176475524902
Reigate Dance Centre,Dance Studio,51.242841,-0.193625
Redland Coleman Centre,General Entertainment,51.242833,-0.193402
Front Room Songs,Music Venue,51.239208,-0.16988
The Harlequin,Movie Theater,51.24040682568727,-0.16541427671907205
Royal Highland Centre,General Entertainment,51.238199,-0.160401
Redhill Aerials & Satellites,General Entertainment,51.24021108453954,-0.12440085411071777
Oxted Band,Music Venue,51.24031483000911,0.002991825979037699
Ifield Barn,Theater,51.2514805,-0.1896842
St Julians Club,General Entertainment,51.251421154185074,0.21769151665575998
Wateringbury Cricket Club,Cricket Ground,51.25060929207077,0.4257956556309205
teston roman villa,Historic Site,51.25281018764945,0.43567657470703125
Merstham Football Club,Soccer Stadium,51.258426,-0.14081
JH Music,Music Venue,51.26147719999999,-0.14131210000005012
Everyman Oxted,Movie Theater,51.25743675054713,-0.0062205688318114835
Screen Cinema,Indie Movie Theater,51.2572,-0.006188
Squerreys Court,Garden,51.261355725885764,0.06489867858379447
Ightham Mote,History Museum,51.25888506161315,0.2703341148833087
Paul's Recording Shed,Rock Club,51.26844024658203,0.048350799828767776
Quebec House,Historic Site,51.26743434726327,0.07606125006812453
El Matador,Music Venue,51.2714109347912,0.19100357372139487
ozzies,General Entertainment,51.270779610994374,0.19501570241156513
The Kings Hill Art Company,Art Gallery,51.27239625,0.39463919
Kings hill cricket club,Cricket Ground,51.27188323961448,0.41539796394051975
Fant Hall,Dance Studio,51.26800582260138,0.4888764278135063
Fayers Fun House,General Entertainment,51.269824,0.488989
Maidstone TV Studios,Music Venue,51.2730999,0.4857389
East Malling Research Centre,Music Venue,51.2730999,0.4857389
Movie Night,Comedy Club,51.270919,0.483934
Private Gig,Music Venue,51.2730999,0.4857389
East Farleigh Old School Hall,Music Venue,51.2730999,0.4857389
Caterham School Art,Public Art,51.282888,-0.085929
The Miller Centre,Performing Arts Venue,51.28070263084513,-0.0753164291381836
Titsey Place and Gardens,Historic Site,51.279010935322745,0.01691643546150834
The Ship Theatre,Music Venue,51.2773898,0.1985561
AC Entertainment Ltd,General Entertainment,51.2768155,0.3972895
Tadworth Cricket Club,Cricket Ground,51.29291,-0.233704
The Arc,Performing Arts Venue,51.2916152,-0.10537326335906982
CorruptRadio.net Studio,Music Venue,51.291214,-0.104786
Saturn V,General Entertainment,51.289235,-0.098415
Skaterham,Stadium,51.291249707392375,-0.10171685319820047
Beaver Water World,Animal Shelter,51.28935395217363,0.017755105444123776
Sevenspooks,General Entertainment,51.28750026226044,0.19859611988067627
Adventure kidz,General Entertainment,51.29060298923974,0.47033604606387847
Old Coulsdon Colts FC,Soccer Stadium,51.30109146118194,-0.12465728534087891
Pod London,General Entertainment,51.29959963831587,-0.08253032849741194
The Photographic Studio,Street Art,51.29887390136719,0.24857260286808014
Leybourne Cricket Club,Sports Club,51.3032205619332,0.4244157093386964
SDC Social Venue,General Entertainment,51.306606,-0.068655
Astrokeofbeauty,General Entertainment,51.3125339,0.17197190000001683
Otford Palace,Historic Site,51.31109012812649,0.18983370229164082
Just One Moon Media Office,General Entertainment,51.312181,0.196804
The Neutron Studio,Performing Arts Venue,51.309432,0.349958
The Duke Of Wellington,Pub,51.31360438751374,0.39480391625971406
LAM - London Advanced Motorcyclists,General Entertainment,51.321323,-0.2073552
Frames Sports Bar,Pool Hall,51.31966070517078,-0.13959903721860414
Bella Art,Art Gallery,51.319339,-0.139251
Theatre Workshop Coulsdon,Theater,51.31977844238281,-0.14821988344192505
Art Rebellion,Art Gallery,51.31982046002178,-0.1389500059743327
Rickman Hill Park,Performing Arts Venue,51.319941,-0.141267
Allied Pool and Snooker Limited,Pool Hall,51.320198,-0.1390828
Chipping Norton Theatre,Theater,51.323087,-0.112015
Kenley Memorial Hall,Convention Center,51.32289781370752,-0.10254775434176511
Galactic Studio,Music Venue,51.319166,0.034033
SING Purley,Music Venue,51.332457727514345,-0.11150757047146415
James Owen Artist,General Entertainment,51.32785939999999,-0.1185611
Bens Gaming Setup,Art Gallery,51.328944,-0.096435
Old Mid-Whitgiftian Club,Cricket Ground,51.33083916002202,-0.06789285414739366
Highams Fest,Rock Club,51.33241717994395,0.0095465334998944
Leefest,Rock Club,51.332203,0.00958113850394091
Lee Fest,Music Venue,51.33258091785433,0.00880090634821717
"The Home of Charles Darwin, Down House",History Museum,51.33150951479789,0.05286462790910375
Helmsley Conservation Centre,Zoo,51.32899856567383,0.321575403213501
Bee Jay Entertainments,General Entertainment,51.331246371562045,0.44481050793456234
The Stone Of Purley,Public Art,51.339935,-0.114372075
Ten Tonne Tattoo,Art Gallery,51.337332,-0.115237
Sam's studio,Rock Club,51.341733,-0.103039
Camden Arts Centre,Art Gallery,51.33900682292836,-0.083679649151434
Cricket pitch,Cricket Ground,51.33966989341302,0.4431760534483759
Gymboree Cheam,General Entertainment,51.35386593909884,-0.2188219896207085
Fabtastic Parties,General Entertainment,51.350337,-0.19430510000006507
Cricket Centre,Cricket Ground,51.34939439999999,-0.1275712
Battle Of Britain Memorial,Memorial Site,51.352880688865014,-0.11593896558635898
War Memorial,Memorial Site,51.351352,-0.117549
Keston Roman Tombs,Historic Site,51.351182557725444,0.0300997557748403
Cudham Village Show,General Entertainment,51.351009,0.097041
Dance Option Cheam,Dance Studio,51.35765828975317,-0.2171665837402079
Cheam Charter Fair,General Entertainment,51.359803445819615,-0.21554231643676758
Sutton cricket club,Cricket Ground,51.36054232154123,-0.2051088752701825
Riva Bingo,Casino,51.362718,-0.193486
ShortStepperz Dance Academy,Dance Studio,51.35934131827361,-0.1916754435380793
Sutton War Memorial,Memorial Site,51.36220643873931,-0.1905557221962705
Environmental Fair,General Entertainment,51.36182661472059,-0.1623058319091797
My Gym Wallington,Gymnastics Gym,51.3611221,-0.1497324
Croydon Airport,History Museum,51.35651451670713,-0.11684737186837978
Direct Traveller,Travel Agency,51.35644977,-0.11746642
Spencer Road Halt Railway Bridge,Historic Site,51.362336,-0.087521
Royal Russell Computer Room,General Entertainment,51.357237,-0.066233
Performing Arts Centre - Royal Russell School,Performing Arts Venue,51.35792324222457,-0.06576650443147072
The Cabin,General Entertainment,51.358262,0.022338
Keston War Memorial,Memorial Site,51.35799273702743,0.03164015792126858
Uk betting tips,Arcade,51.361920401839974,0.06897568702697753
Farnborough Dramatic Society,Theater,51.3593804,0.0674428
The RockPins - Live Party Band,General Entertainment,51.35811517025951,0.12260913848876953
Lullingstone Castle and The World Garden,Historic Site,51.3599752120393,0.1977419561651696
Paddock Hill Bend,Racetrack,51.360704667802096,0.26421632515400295
Brabham Straight,Racetrack,51.36043963165976,0.26007776638448143
Brands Hatch,Racetrack,51.35995665059094,0.26075938787980113
Brands Hatch Druids Hairpin,Racetrack,51.35820175272939,0.2642038062769102
Paddock Hill Grandstand,Racetrack,51.36121465592309,0.26245514092431604
Timekeeping,Racetrack,51.360006,0.260523
Southbank,Racetrack,51.35940500409054,0.2616337477906005
McLaren,Racetrack,51.357215,0.258052
Druids (outside),Racetrack,51.3588286200893,0.26348280900732646
Inside Druids,Racetrack,51.35876226529295,0.26428907936777746
Brands Hatch Post 9,Racetrack,51.35888,0.258207
Cooper Straight,Racetrack,51.35982890888557,0.2596829998912852
Inspiri Dance & Pilates,Dance Studio,51.36641969999999,-0.2205033
Gander Green Lane (Borough Sports Ground),Soccer Stadium,51.36751,-0.204132
Boom Boom Club @ Sutton Utd Fc,Performing Arts Venue,51.3663164,-0.2056984
Black Swan Morris,Performing Arts Venue,51.372965,-0.200915
St Albans Church Hall,Performing Arts Venue,51.37046813964844,-0.20810219645500183
Boom Boom Club - Electric Strawbs,Performing Arts Venue,51.3696686,-0.1718813
Laser Quest Croydon,Arcade,51.368215567974204,-0.11882993999181311
Vue Cinema,Multiplex,51.37282647228194,-0.10113059006545864
Croydon Clocktower,Museum,51.37144443626463,-0.10014506765314286
Limitless VR,Arcade,51.37119633870216,-0.10015368461608887
Rise Gallery,Art Gallery,51.37307382077739,-0.09914651422198527
Croydon Museum,Museum,51.37201,-0.09916194
Grants Entertainment Centre,General Entertainment,51.372974,-0.100896
David Lean Cinema,Indie Movie Theater,51.3728171642713,-0.09842992764552262
Carpe Diem Body Art Tattoo Studio,Art Gallery,51.37289868938403,-0.10064708940315194
Rileys,Sports Bar,51.3736963806163,-0.10191935096765072
Loop Club,Music Venue,51.373377,-0.101073
Croydon Family Fun Day,General Entertainment,51.36637478265156,-0.09895814218796954
Hoodoo's,Music Venue,51.3719798,-0.1011987
CASİNO eighty-seven,Casino,51.37209443670774,-0.10073555773142474
Scream Studios,Music Venue,51.36657914731715,-0.0992487622036354
Witchfest,General Entertainment,51.37189,-0.095635
Alchemy Bar & Restaurant,Music Venue,51.3729312,-0.0981287
Croydon Water Works,Historic Site,51.372418,-0.101466
Spread Eagle Theatre,Theater,51.372671,-0.100282
Park Hill Water Tower,Historic Site,51.367768319277886,-0.09034216403961182
Superfly Promotions,General Entertainment,51.369288789456085,-0.08602380752563477
Shirley Windmill,History Museum,51.36887427273581,-0.05429692355010423
Boom Arts Academy,Dance Studio,51.37021,-0.04243
Wickham Theatre Centre,Theater,51.37284912603459,-0.010517722379825633
Old Portlians CC Meeting Point,Road,51.368341,-0.005578
"Centro Georges Pompidou, Paris",Art Gallery,51.36623764038086,0.035788800567388535
Orpington War Memorial,Memorial Site,51.37317302603872,0.0973812061274144
#twitclan,Arcade,51.371,0.3083
M2 Koi Ltd,Garden Center,51.3736476,0.4553093
Cleave Warne Hall,Performing Arts Venue,51.373922,0.486608
Lydden Hill,Racetrack,51.37000007486003,0.48855096280690025
First Floor Art Block,Art Gallery,51.382432500903256,-0.23344470317027355
Thruxton,Racetrack,51.382409,-0.236869
Craft My Day,Art Gallery,51.37727570000001,-0.23864000000003216
The Music Booth Academy,Music Venue,51.38040611176086,-0.15797138214111328
Vue Cinema,Movie Theater,51.37833218967066,-0.1248494131828474
Tenpin Bowling,Bowling Alley,51.37803952804868,-0.12535145922183102
Rejoin,Bowling Alley,51.37777268886566,-0.12577414512634277
Sydenham Road Mosaic,Public Art,51.378517,-0.09561807
Rockbottom,Music Venue,51.37951901232333,-0.10392733110947112
Croydon Radio,Music Venue,51.376165,-0.098234
Croydon Minister,Performing Arts Venue,51.376165,-0.098234
Croydon Soft Play,Arts & Entertainment,51.38001553877097,-0.1045980069487732
Addiscombe Stone,Outdoor Sculpture,51.38075967859356,-0.0857555866241455
Bethlem Museum of the Mind,History Museum,51.380906662602115,-0.029456019401550293
Bromley Common Cricket Club,Cricket Ground,51.377084592255066,0.03630638122558594
Old Forge Recording Studio,Music Venue,51.38102,0.3598
The Living Room,Movie Theater,51.377152,0.459359
Cineworld,Movie Theater,51.37916068648866,0.47490163396685686
Higham And Mockbeggar Cricket Club,Cricket Ground,51.38023637739183,0.47186150358708756
Hollywood Bowl,Bowling Alley,51.38149362034354,0.48020832147462833
Tommy Knight Magician,General Entertainment,51.3909934,-0.2239132
Aquajoy,Aquarium,51.3888475,-0.2111787
Flying Interactive,Business Service,51.391637,-0.18818659999999454
The KNK Stadium (Tooting & Mitcham United FC),Soccer Stadium,51.39375364466684,-0.17363573822251085
Techneice,General Entertainment,51.3929623,-0.1783934
Karting Nation - Croydon,Go Kart Track,51.38947,-0.14289
Traq,Racetrack,51.389091,-0.144979
Croydon Rifle And Pistol Club,General Entertainment,51.388521,-0.144772
The Keith Tuckey Stadium,Soccer Stadium,51.39327472338673,-0.12715816497802734
Norbury Comedy Club,Comedy Club,51.392954,-0.114037
Lock Down Studio,Music Venue,51.3882365554084,-0.10381033636694009
Creation Studios,Performing Arts Venue,51.38907387231103,-0.09454828735403513
London Warriors,Football Stadium,51.391440839580426,-0.08940168924648295
Moonstone Theatre London,Event Service,51.3921607,-0.089754
Android sony P,General Entertainment,51.386627197265625,-0.08289069682359695
Dragon Quest Adventure Golf,Mini Golf,51.3911102535584,-0.05577566513000351
Beckenham Town Football Club,Soccer Stadium,51.39177018763288,-0.02896741579227522
Crofton Halls,General Entertainment,51.38990836901759,0.007991964603657701
Bromley Football Club,Soccer Stadium,51.39022022058604,0.02052165289015134
PussyCat Pole Dancing-Elite Gym,Dance Studio,51.391064,0.112828
Saddlegate,Historic Site,51.388361,0.295624
Parties4Princesses,General Entertainment,51.3925555,0.30635050000000774
Owletts,Historic Site,51.39222001490356,0.3939306479054647
"St Mary Magdalene, Cobham",Music Venue,51.3909453,0.3969731
Cleave Warne Hall,Performing Arts Venue,51.3921,0.46046
Frontstalls,Theater,51.3882009,0.4664858999999524
