Ward_Code,Life_Ex
E05000026,81.8
E05000027,79.2
E05000028,79.1
E05000029,80.9
E05000030,79.8
E05000031,82.05
E05000032,78.6
E05000033,80.8
E05000034,78.85
E05000035,82.35
E05000036,80.7
E05000037,79.75
E05000038,77.05
E05000039,80.05000000000001
E05000040,79.9
E05000041,78.5
E05000042,82.65
E05000043,83.9
E05000044,79.05
E05000045,81.8
E05000046,84.95
E05000047,81.05
E05000048,83.5
E05000049,83.65
E05000050,85.75
E05000051,86.75
E05000052,87.15
E05000053,81.80000000000001
E05000054,83.8
E05000055,82.05
E05000056,83.1
E05000057,84.7
E05000058,83.25
E05000059,85.4
E05000060,81.2
E05000061,83.05000000000001
E05000062,84.2
E05000063,83.25
E05000064,82.25
E05000065,82.6
E05000066,85.1
E05000067,84.9
E05000068,84.69999999999999
E05000069,82.2
E05000070,81.25
E05000071,82.15
E05000072,81.4
E05000073,82.15
E05000074,83.15
E05000075,82.2
E05000076,83.9
E05000077,81.75
E05000078,81.85
E05000079,79.65
E05000080,84.35
E05000081,85.2
E05000082,84.2
E05000083,81.5
E05000084,81.35
E05000085,83.9
E05000086,79.5
E05000087,84.7
E05000088,85.65
E05000089,84.19999999999999
E05000090,81.85
E05000091,80.55000000000001
E05000092,85.55
E05000093,87.85
E05000094,83.30000000000001
E05000095,82.15
E05000096,83.35
E05000097,83.1
E05000098,85.95
E05000099,82.0
E05000100,79.15
E05000101,81.45
E05000102,81.65
E05000103,82.1
E05000104,83.80000000000001
E05000105,82.1
E05000106,81.85
E05000107,84.65
E05000108,83.4
E05000109,81.55000000000001
E05000110,85.3
E05000111,82.25
E05000112,82.9
E05000113,82.25
E05000114,81.4
E05000115,81.2
E05000116,79.4
E05000117,82.65
E05000118,85.8
E05000119,84.45
E05000120,85.05000000000001
E05000121,80.9
E05000122,83.95
E05000123,82.4
E05000124,85.94999999999999
E05000125,79.65
E05000126,87.5
E05000127,84.65
E05000128,86.55000000000001
E05000129,83.69999999999999
E05000130,83.95
E05000131,81.9
E05000132,85.85
E05000133,86.95
E05000134,84.1
E05000135,87.85
E05000136,82.35
E05000137,85.05
E05000138,85.65
E05000139,79.35
E05000140,78.9
E05000141,85.45
E05000142,82.0
E05000143,80.1
E05000144,85.15
E05000145,84.35
E05000146,80.65
E05000147,83.65
E05000148,82.69999999999999
E05000149,79.35
E05000150,85.2
E05000151,82.2
E05000152,81.75
E05000153,81.25
E05000154,79.85
E05000155,84.05
E05000156,82.05000000000001
E05000157,78.75
E05000158,81.6
E05000159,83.45
E05000160,85.45
E05000161,76.9
E05000162,86.2
E05000163,84.55000000000001
E05000164,80.65
E05000165,80.1
E05000166,80.80000000000001
E05000167,78.1
E05000168,81.0
E05000169,81.75
E05000170,82.5
E05000171,83.75
E05000172,81.65
E05000173,81.65
E05000174,81.85
E05000175,82.9
E05000176,81.45
E05000177,80.19999999999999
E05000178,83.0
E05000179,85.0
E05000180,82.4
E05000181,80.65
E05000182,84.6
E05000183,84.75
E05000184,83.19999999999999
E05000185,80.8
E05000186,79.7
E05000187,84.95
E05000188,78.85
E05000189,82.0
E05000190,80.75
E05000191,83.4
E05000192,81.55000000000001
E05000193,83.69999999999999
E05000194,82.15
E05000195,80.1
E05000196,84.69999999999999
E05000197,82.15
E05000198,83.15
E05000199,79.85
E05000200,85.3
E05000201,83.05000000000001
E05000202,84.94999999999999
E05000203,80.75
E05000204,81.65
E05000205,83.45
E05000206,81.9
E05000207,83.0
E05000208,83.1
E05000209,83.5
E05000210,83.4
E05000211,80.69999999999999
E05000212,77.65
E05000213,82.5
E05000214,80.2
E05000215,81.95
E05000216,78.75
E05000217,81.25
E05000218,83.95
E05000219,81.9
E05000220,79.75
E05000221,77.25
E05000222,80.69999999999999
E05000223,81.5
E05000224,82.4
E05000225,81.4
E05000226,81.25
E05000227,82.55000000000001
E05000228,77.15
E05000229,79.4
E05000230,78.69999999999999
E05000231,80.75
E05000232,84.0
E05000233,79.85
E05000234,81.8
E05000235,80.9
E05000236,79.1
E05000237,81.35
E05000238,81.55000000000001
E05000239,79.9
E05000240,80.85
E05000241,82.2
E05000242,77.7
E05000243,81.4
E05000244,82.45
E05000245,81.44999999999999
E05000246,81.25
E05000247,83.05
E05000248,79.65
E05000249,78.9
E05000250,82.7
E05000251,82.44999999999999
E05000252,82.05
E05000253,79.80000000000001
E05000254,80.05000000000001
E05000255,81.05
E05000256,79.19999999999999
E05000257,84.2
E05000258,80.65
E05000259,84.5
E05000260,83.44999999999999
E05000261,79.45
E05000262,82.44999999999999
E05000263,80.35
E05000264,84.19999999999999
E05000265,83.25
E05000266,83.65
E05000267,82.2
E05000268,82.55000000000001
E05000269,84.05
E05000270,83.0
E05000271,83.0
E05000272,84.85
E05000273,82.85
E05000274,84.8
E05000275,80.9
E05000276,80.1
E05000277,82.6
E05000278,82.55
E05000279,81.25
E05000280,78.95
E05000281,81.1
E05000282,82.5
E05000283,79.25
E05000284,82.0
E05000285,87.19999999999999
E05000286,83.44999999999999
E05000287,85.25
E05000288,80.8
E05000289,84.5
E05000290,82.75
E05000291,84.19999999999999
E05000292,87.0
E05000293,84.65
E05000294,84.8
E05000295,83.5
E05000296,83.7
E05000297,85.5
E05000298,88.35
E05000299,83.3
E05000300,84.6
E05000301,84.19999999999999
E05000302,83.55000000000001
E05000303,84.9
E05000304,81.2
E05000305,84.44999999999999
E05000306,79.5
E05000307,85.75
E05000308,82.15
E05000309,81.75
E05000310,79.05
E05000311,83.1
E05000312,81.8
E05000313,79.65
E05000314,78.75
E05000315,84.85
E05000316,84.65
E05000317,83.05000000000001
E05000318,81.44999999999999
E05000319,82.7
E05000320,81.9
E05000321,80.7
E05000322,83.05
E05000323,82.6
E05000324,81.0
E05000325,78.65
E05000326,81.15
E05000327,83.75
E05000328,81.65
E05000329,86.9
E05000330,79.6
E05000331,81.25
E05000332,81.65
E05000333,84.95
E05000334,83.8
E05000335,83.80000000000001
E05000336,83.7
E05000337,82.80000000000001
E05000338,81.69999999999999
E05000339,80.0
E05000340,83.19999999999999
E05000341,81.35
E05000342,79.35
E05000343,81.85
E05000344,81.35
E05000345,81.6
E05000346,80.85
E05000347,82.9
E05000348,83.80000000000001
E05000349,85.6
E05000350,82.5
E05000351,77.15
E05000352,82.94999999999999
