Name,Latitude,Longitude,Platform / Entrance,Line
Acton Town,51.5025,-0.278126,Platform,"District, Piccadilly"
Acton Central,51.50856013,-0.262879534,Platform,London Overground
Aldgate,51.51394,-0.07537,Aldgate High Street entrance,Metropolitan
Aldgate East,51.51514,-0.07178,Entrance,"District, Hammersmith & City"
Alperton,51.54097,-0.30061,Platform,Piccadilly
Amersham,51.67435,-0.60732,Entrance,Metropolitan
Angel,51.53253,-0.10579,Entrance,Northern
Archway,51.56536,-0.13474,Junction Road entrance,Northern
Arnos Grove,51.61625,-0.13355,Entrance,Piccadilly
Arsenal,51.55847,-0.10561,outside Gillespie Road exit; the platforms are a long walk west in tunnel,Piccadilly
Baker Street,51.52265,-0.15704,Circle/Hammersmith & City Entrance (probably),"Circle, Hammersmith & City"
Balham,51.44344113,-0.152945844,Entrance,Northern
Bank,51.5134047,-0.08905843,Entrance,"Central, Waterloo & City"
Barbican,51.520865,-0.097758,Entrance,"Circle, Hammersmith & City, Metropolitan"
Barking,51.54079,0.08018,platforms,"District, Hammersmith & City"
Barkingside,51.58543,0.08854,platforms,Central
Barons Court,51.490281,-0.21434,Platform,"Piccadilly, District"
Bayswater,51.51224,-0.187569,Entrance,"Circle, District"
Becontree,51.54029,0.1262,platforms,District
Belsize Park,51.55036,-0.16465,Entrance,Northern
Bermondsey,51.49813,-0.0635,Entrance,Jubilee
Bethnal Green,51.52718,-0.05504,tube station entrance,Central
Blackfriars,51.5114403,-0.1041905,Entrance,"Circle, District"
Blackhorse Road,51.58698,-0.04104,Entrance Hall,Victoria
Bond Street,51.51461,-0.14897,Entrance,"Central, Jubilee"
Borough,51.50095,-0.09446,Entrance,Northern
Boston Manor,51.495371,-0.325573,Platform,Piccadilly
Bounds Green,51.607,-0.12418,Entrance,Piccadilly
Bow Road,51.52709,-0.02482,Entrance,"District, Hammersmith & City"
Brent Cross,51.57693,-0.21414,Platform,Northern
Brixton,51.46239,-0.115421,Entrance,Victoria
Bromley-by-Bow,51.52466,-0.01282,platforms,"District, Hammersmith & City"
Brondesbury,51.54505,-0.20297,London Overground platforms,London Overground
Brondesbury Park,51.5406,-0.21093,London Overground platforms,London Overground
Buckhurst Hill,51.62611,0.04705,platforms,Central
Burnt Oak,51.603,-0.26427,Platform,Northern
Caledonian Road,51.5485,-0.11802,outside Caledonian Road exit,Piccadilly
Caledonian Road & Ba,51.54326,-0.11544,London Overground platforms,London Overground
Camden Road,51.54192,-0.13981,London Overground platforms,London Overground
Camden Town,51.5393,-0.14316,Entrance,Northern
Canada Water,51.49787,-0.04967,90º anticlockwise around dome from entrance,East London
Canary Wharf,51.50362,-0.01987,LU Entrance,Jubilee
Cannon Street,51.51141,-0.09047,LU entrance,"Circle, District"
Canonbury,51.54822,-0.09632,mainline platforms,London Overground
Canons Park,51.6081,-0.29487,Platform,Jubilee
Chalfont & Latimer,51.66822,-0.56053,Entrance (car park side; don't know if there's an entrance on the other side),Metropolitan
Chalk Farm,51.5439,-0.15384,Entrance,Northern
Chancery Lane,51.51836,-0.11115,Entrance/exit 3,Central
Charing Cross,51.507108,-0.122963,Mainline Platforms,"Bakerloo, Northern"
Chesham,51.70522733,-0.610986426,Platform,Metropolitan
Chigwell,51.61795,0.07511,platforms,Central
Chiswick Park,51.49466,-0.26866,Platform,District
Chorleywood,51.65429872,-0.518373353,Platform,Metropolitan
City Thameslink,51.51416,-0.10335,Ludgate Hill exit,Thameslink
Clapham Common,51.46156,-0.13802,Entrance,Northern
Clapham North,51.46522,-0.1295,Entrance,Northern
Clapham South,51.45292257,-0.147562148,Entrance,Northern
Cockfosters,51.65117,-0.14811,platforms,Piccadilly
Colindale,51.59556,-0.24996,Platform,Northern
Colliers Wood,51.41823649,-0.17800983,Entrance,Northern
Covent Garden,51.51308,-0.12427,Long Acre entrance,Piccadilly
Croxley,51.64733268,-0.441479115,Platform,Metropolitan
Dagenham East,51.54396,0.16439,platforms,District
Dagenham Heathway,51.54173,0.14543,platforms,District
Dalston Kingsland,51.54832,-0.07879,mainline platforms,London Overground
Debden,51.64535,0.08364,platforms,Central
Dollis Hill,51.5525,-0.23884,Entrance,Jubilee
Ealing Broadway,51.51482,-0.30118,Platform,"Central, District"
Ealing Common,51.50997,-0.28825,Platform,"District, Piccadilly"
Earl's Court,51.491521,-0.193906,Platform,"District, Piccadilly"
East Acton,51.51753,-0.24827,Platform,Central
East Finchley,51.58729747,-0.164956323,southbound platform,Northern
East Ham,51.53931,0.0526,platforms,"District, Hammersmith & City"
