Code,Population_per_square_kilometre
E05000026,11765.44175
E05000027,8257.898604
E05000028,11711.05919
E05000029,3262.1301780000003
E05000030,3199.478865
E05000031,8508.650518999999
E05000032,12871.2522
E05000033,9725.78125
E05000034,5974.563591
E05000035,7485.365854000001
E05000036,6149.10859
E05000037,8462.590506999999
E05000038,3369.650901
E05000039,1843.6073059999999
E05000040,8982.985305
E05000041,5322.429907
E05000042,7791.505792
E05000043,5315.059861
E05000044,9715.116279
E05000045,7161.864681
E05000046,9753.595761
E05000047,6580.882353
E05000048,4514.392324
E05000049,6817.7496040000005
E05000050,3600.8992810000004
E05000051,6209.302326
E05000052,3537.729867
E05000053,6929.818670000001
E05000054,3389.3397270000005
E05000055,7007.746479
E05000056,1902.515345
E05000057,2205.070843
E05000058,5001.507386
E05000059,1861.085766
E05000060,3618.40949
E05000061,8148.542342
E05000062,5822.533567
E05000063,7139.356815000001
E05000064,3863.0662020000004
E05000065,4293.894337
E05000066,6526.970954
E05000067,5296.472831
E05000068,5527.116067
E05000069,4579.67033
E05000070,6642.291286
E05000071,3383.316532
E05000072,1676.0857460000002
E05000073,4203.976436
E05000074,5214.384509
E05000075,2855.550883
E05000076,6623.423422999999
E05000077,5048.101266
E05000078,4187.5
E05000079,2196.168044
E05000080,6194.554736
E05000081,2590.878302
E05000082,7949.445983
E05000083,4423.019985
E05000084,2683.4814969999998
E05000085,8133.624879000001
E05000086,5562.689076
E05000087,7826.945412
E05000088,6417.754569
E05000089,9457.788347
E05000090,5288.5628289999995
E05000091,15267.26457
E05000092,13698.4835
E05000093,5493.333333
E05000094,19479.872880000003
E05000095,11654.949779999999
E05000096,4776.2813320000005
E05000097,6760.334029000001
E05000098,10714.573540000001
E05000099,8673.658537000001
E05000100,4662.145499
E05000101,7444.131455
E05000102,6124.457308
E05000103,6157.439446
E05000104,10320.02495
E05000105,10817.7117
E05000106,3322.037379
E05000107,1291.3547449999999
E05000108,2136.281697
E05000109,5124.798279
E05000110,1211.7497210000001
E05000111,1596.612116
E05000112,7377.758164
E05000113,5050.213025
E05000114,1244.506321
E05000115,4427.882174
E05000116,5866.986481
E05000117,190.9419666
E05000118,2157.68406
