,Ward_Code,Borough,Names,Av_GCSE_Points
0,E09000001,City of London,City of London,354.5
1,E05000026,Barking and Dagenham,Abbey,317.65775862068966
2,E05000027,Barking and Dagenham,Alibon,307.44573170731707
3,E05000028,Barking and Dagenham,Becontree,295.4513812154696
4,E05000029,Barking and Dagenham,Chadwell Heath,293.43783783783783
5,E05000030,Barking and Dagenham,Eastbrook,305.94827586206895
6,E05000031,Barking and Dagenham,Eastbury,315.6670658682635
7,E05000032,Barking and Dagenham,Gascoigne,300.6715328467153
8,E05000033,Barking and Dagenham,Goresbrook,302.22727272727275
9,E05000034,Barking and Dagenham,Heath,297.3286885245902
10,E05000035,Barking and Dagenham,Longbridge,337.7835227272727
11,E05000036,Barking and Dagenham,Mayesbrook,305.4440298507463
12,E05000037,Barking and Dagenham,Parsloes,312.2058394160584
13,E05000038,Barking and Dagenham,River,300.18928571428575
14,E05000039,Barking and Dagenham,Thames,306.9984732824427
15,E05000040,Barking and Dagenham,Valence,302.96492537313435
16,E05000041,Barking and Dagenham,Village,301.5692307692307
17,E05000042,Barking and Dagenham,Whalebone,310.8455284552846
18,E05000043,Barnet,Brunswick Park,339.3390557939914
19,E05000044,Barnet,Burnt Oak,313.546975088968
20,E05000045,Barnet,Childs Hill,335.65
21,E05000046,Barnet,Colindale,307.73081395348834
22,E05000047,Barnet,Coppetts,343.4721212121212
23,E05000048,Barnet,East Barnet,337.4255555555555
24,E05000049,Barnet,East Finchley,350.0976377952756
25,E05000050,Barnet,Edgware,326.7208333333333
26,E05000051,Barnet,Finchley Church End,360.74090909090904
27,E05000052,Barnet,Garden Suburb,368.5094117647059
28,E05000053,Barnet,Golders Green,342.0639705882353
29,E05000054,Barnet,Hale,325.59571428571434
30,E05000055,Barnet,Hendon,352.6848684210526
31,E05000056,Barnet,High Barnet,353.3846715328467
32,E05000057,Barnet,Mill Hill,352.8417721518988
33,E05000058,Barnet,Oakleigh,346.8614864864865
34,E05000059,Barnet,Totteridge,368.8777327935222
35,E05000060,Barnet,Underhill,320.30231884057974
36,E05000061,Barnet,West Finchley,368.8980392156863
37,E05000062,Barnet,West Hendon,340.3444444444444
38,E05000063,Barnet,Woodhouse,356.6886075949367
39,E05000064,Bexley,Barnehurst,326.29824561403507
40,E05000065,Bexley,Belvedere,306.139263803681
41,E05000066,Bexley,Blackfen and Lamorbey,332.83851851851847
42,E05000067,Bexley,Blendon and Penhill,340.1451851851852
43,E05000068,Bexley,Brampton,325.36168224299064
44,E05000069,Bexley,Christchurch,342.87401574803147
45,E05000070,Bexley,Colyers,298.29692307692306
46,E05000071,Bexley,Crayford,301.3769784172662
47,E05000072,Bexley,Cray Meadows,324.9230215827338
48,E05000073,Bexley,Danson Park,337.00166666666667
49,E05000074,Bexley,East Wickham,331.87028985507243
50,E05000075,Bexley,Erith,312.2408
51,E05000076,Bexley,Falconwood and Welling,335.621052631579
52,E05000077,Bexley,Lesnes Abbey,303.01259259259257
53,E05000078,Bexley,Longlands,348.67403846153843
54,E05000079,Bexley,North End,285.7090909090909
55,E05000080,Bexley,Northumberland Heath,324.78986486486485
56,E05000081,Bexley,St. Mary's,358.70840336134455
57,E05000082,Bexley,St. Michael's,327.2227848101266
58,E05000083,Bexley,Sidcup,347.6792452830189
59,E05000084,Bexley,Thamesmead East,304.6108280254777
60,E05000085,Brent,Alperton,318.5683870967742
61,E05000086,Brent,Barnhill,321.5930635838151
62,E05000087,Brent,Brondesbury Park,354.56993464052283
63,E05000088,Brent,Dollis Hill,298.0899441340782
64,E05000089,Brent,Dudden Hill,311.50859375
65,E05000090,Brent,Fryent,326.9644295302013
66,E05000091,Brent,Harlesden,304.88221153846155
67,E05000092,Brent,Kensal Green,307.5737704918033
68,E05000093,Brent,Kenton,357.2243697478992
69,E05000094,Brent,Kilburn,319.2414285714285
70,E05000095,Brent,Mapesbury,314.08040201005025
71,E05000096,Brent,Northwick Park,345.73333333333335
72,E05000097,Brent,Preston,339.0653846153846
73,E05000098,Brent,Queens Park,345.8075
74,E05000099,Brent,Queensbury,331.98129032258066
75,E05000100,Brent,Stonebridge,298.5968253968254
76,E05000101,Brent,Sudbury,331.1682119205298
77,E05000102,Brent,Tokyngton,310.81216216216217
