NAME,GSS_CODE,LB_GSS_CD,BOROUGH,Translation,,Ward_Code,Names,Borough
Brownswood,E05009367,E09000012,Hackney,E05000231,,E05000231,Brownswood,Hackney
Cazenove,E05009368,E09000012,Hackney,E05000232,,E05000232,Cazenove,Hackney
Clissold,E05009369,E09000012,Hackney,E05000234,,E05000233,Chatham,Hackney
Dalston,E05009370,E09000012,Hackney,E05000235,,E05000234,Clissold,Hackney
De Beauvoir,E05009371,E09000012,Hackney,E05000236,,E05000235,Dalston,Hackney
Hackney Central,E05009372,E09000012,Hackney,E05000237,,E05000236,De Beauvoir,Hackney
Hackney Downs,E05009373,E09000012,Hackney,E05000238,,E05000237,Hackney Central,Hackney
Hackney Wick,E05009374,E09000012,Hackney,E05000249,,E05000238,Hackney Downs,Hackney
Haggerston,E05009375,E09000012,Hackney,E05000239,,E05000239,Haggerston,Hackney
Homerton,E05009376,E09000012,Hackney,E05000233,,E05000240,Hoxton,Hackney
Hoxton East & Shoreditch,E05009377,E09000012,Hackney,E05000239,,E05000241,King's Park,Hackney
Hoxton West,E05009378,E09000012,Hackney,E05000236,,E05000242,Leabridge,Hackney
King's Park,E05009379,E09000012,Hackney,E05000241,,E05000243,Lordship,Hackney
Lea Bridge,E05009380,E09000012,Hackney,E05000242,,E05000244,New River,Hackney
London Fields,E05009381,E09000012,Hackney,E05000245,,E05000245,Queensbridge,Hackney
Shacklewell,E05009382,E09000012,Hackney,E05000235,,E05000246,Springfield,Hackney
Springfield,E05009383,E09000012,Hackney,E05000246,,E05000247,Stoke Newington Central,Hackney
Stamford Hill West,E05009384,E09000012,Hackney,E05000243,,E05000248,Victoria,Hackney
Stoke Newington,E05009385,E09000012,Hackney,E05000247,,E05000249,Wick,Hackney
Victoria,E05009386,E09000012,Hackney,E05000248,,,,
Woodberry Down,E05009387,E09000012,Hackney,E05000244,,,,
Abingdon,E05009388,E09000020,Kensington and Chelsea,E05000382,,E05000382,Abingdon,Kensington and Chelsea
Brompton & Hans Town,E05009389,E09000020,Kensington and Chelsea,E05000383,,E05000383,Brompton,Kensington and Chelsea
Campden,E05009390,E09000020,Kensington and Chelsea,E05000384,,E05000384,Campden,Kensington and Chelsea
Chelsea Riverside,E05009391,E09000020,Kensington and Chelsea,E05000387,,E05000385,Colville,Kensington and Chelsea
Colville,E05009392,E09000020,Kensington and Chelsea,E05000385,,E05000386,Courtfield,Kensington and Chelsea
