Ward_Code,PM10,NO2
E09000001,21.69,50.2
E05000026,18.63,33.69
E05000027,17.78,28.69
E05000028,17.89,29.71
E05000029,17.72,27.68
E05000030,17.48,27.09
E05000031,18.35,31.57
E05000032,18.98,34.08
E05000033,18.13,30.2
E05000034,17.82,28.64
E05000035,18.01,30.77
E05000036,17.82,29.45
E05000037,17.98,29.48
E05000038,17.94,29.43
E05000039,18.15,30.26
E05000040,17.92,29.33
E05000041,17.55,27.6
E05000042,18.04,29.29
E05000043,17.79,29.97
E05000044,17.8,30.45
E05000045,18.73,35.29
E05000046,18.04,31.61
E05000047,18.46,32.63
E05000048,17.46,28.08
E05000049,18.45,32.69
E05000050,17.82,29.53
E05000051,18.63,32.76
E05000052,18.41,33.04
E05000053,19.21,35.44
E05000054,18.06,30.61
E05000055,18.87,33.78
E05000056,17.4,27.1
E05000057,17.91,30.03
E05000058,17.77,29.48
E05000059,17.5,28.03
E05000060,17.43,27.42
E05000061,18.13,31.34
E05000062,18.96,34.65
E05000063,18.28,31.61
E05000064,17.71,28.28
E05000065,17.59,28.2
E05000066,17.68,28.96
E05000067,18.19,30.39
E05000068,17.66,28.5
E05000069,18.12,30.19
E05000070,17.53,27.52
E05000071,17.72,27.93
E05000072,17.46,26.86
E05000073,18.06,29.96
E05000074,17.75,29.15
E05000075,17.7,28.2
E05000076,18.24,31.19
E05000077,17.77,28.77
E05000078,18.05,29.3
E05000079,17.46,26.65
E05000080,17.56,28.04
E05000081,17.72,28.22
E05000082,17.64,28.85
E05000083,17.7,28.96
E05000084,17.53,28.07
E05000085,18.33,32.88
E05000086,18.06,31.39
E05000087,18.48,35.36
E05000088,18.96,34.74
E05000089,19.04,36.15
E05000090,18.01,30.92
E05000091,18.99,37.32
E05000092,19.36,39.56
E05000093,17.79,30.21
E05000094,18.94,38.34
E05000095,18.48,35.11
E05000096,17.94,30.86
E05000097,18.03,31.82
E05000098,18.78,37.85
E05000099,17.86,30.41
E05000100,19.07,35.7
E05000101,18.12,32.74
E05000102,18.28,33.12
E05000103,18.69,33.41
E05000104,18.12,33.61
E05000105,18.59,35.54
E05000106,17.67,28.1
E05000107,17.04,23.73
E05000108,17.44,26.42
E05000109,17.94,29.99
E05000110,17.1,24.25
E05000111,17.56,27.53
E05000112,17.94,30.22
E05000113,17.89,29.96
E05000114,17.21,25.44
E05000115,17.48,27.02
E05000116,18.12,31.61
E05000117,17.03,23.64
E05000118,17.31,25.66
E05000119,17.4,26.39
E05000120,17.76,28.92
E05000121,17.72,29.09
E05000122,17.32,25.86
E05000123,17.99,30.75
E05000124,17.3,26.48
E05000125,17.69,28.98
E05000126,17.68,28.57
E05000127,17.63,27.91
E05000128,19.33,38.95
E05000129,21.44,48.62
E05000130,19.66,39.65
E05000131,20.04,40.43
E05000132,18.74,37.02
E05000133,19.17,37.75
E05000134,19.29,38.92
E05000135,18.68,35.24
E05000136,19.33,38.29
E05000137,18.25,33.78
E05000138,21.48,49.55
E05000139,19.32,38.71
