Ward_Code,Nature_Access
E05000026,98
E05000027,28
E05000028,83
E05000029,36
E05000030,100
E05000031,94
E05000032,94
E05000033,92
E05000034,9
E05000035,96
E05000036,100
E05000037,70
E05000038,100
E05000039,77
E05000040,40
E05000041,100
E05000042,2
E05000043,99
E05000044,97
E05000045,58
E05000046,51
E05000047,91
E05000048,100
E05000049,93
E05000050,80
E05000051,88
E05000052,98
E05000053,58
E05000054,93
E05000055,64
E05000056,96
E05000057,97
E05000058,54
E05000059,99
E05000060,91
E05000061,85
E05000062,71
E05000063,66
E05000064,89
E05000065,100
E05000066,98
E05000067,100
E05000068,51
E05000069,80
E05000070,32
E05000071,93
E05000072,100
E05000073,100
E05000074,100
E05000075,77
E05000076,63
E05000077,100
E05000078,38
E05000079,59
E05000080,94
E05000081,100
E05000082,77
E05000083,96
E05000084,100
E05000085,100
E05000086,100
E05000087,75
E05000088,100
E05000089,100
E05000090,95
E05000091,100
E05000092,100
E05000093,94
E05000094,87
E05000095,34
E05000096,81
E05000097,33
E05000098,100
E05000099,48
E05000100,100
E05000101,65
E05000102,53
E05000103,100
E05000104,93
E05000105,66
E05000106,40
E05000107,100
E05000108,89
E05000109,14
E05000110,83
E05000111,99
E05000112,76
E05000113,90
E05000114,100
E05000115,100
E05000116,86
E05000117,100
E05000118,100
E05000119,75
E05000120,79
E05000121,100
E05000122,83
E05000123,76
E05000124,97
E05000125,82
E05000126,78
E05000127,67
E05000128,96
E05000129,24
E05000130,92
E05000131,69
E05000132,63
E05000133,83
E05000134,100
E05000135,100
E05000136,95
E05000137,100
E05000138,2
E05000139,79
E05000140,40
E05000141,24
E05000142,100
E05000143,100
E05000144,36
E05000145,67
E05000146,95
E05000147,88
E05000148,8
E05000149,17
E05000150,100
E05000151,48
E05000152,58
E05000153,32
E05000154,100
E05000155,100
E05000156,91
E05000157,100
E05000158,26
E05000159,80
E05000160,100
E05000161,53
E05000162,100
E05000163,69
E05000164,95
E05000165,61
E05000166,94
E05000167,41
E05000168,32
E05000169,100
E05000170,0
E05000171,69
E05000172,97
E05000173,48
E05000174,44
E05000175,36
E05000176,100
E05000177,99
E05000178,95
E05000179,92
E05000180,98
E05000181,87
E05000182,95
E05000183,94
E05000184,70
E05000185,87
E05000186,100
E05000187,98
E05000188,29
E05000189,87
E05000190,95
E05000191,54
E05000192,47
E05000193,97
E05000194,54
E05000195,100
E05000196,73
E05000197,0
E05000198,17
E05000199,56
E05000200,100
E05000201,0
E05000202,67
E05000203,0
E05000204,1
E05000205,94
E05000206,28
E05000207,12
E05000208,79
E05000209,100
E05000210,77
E05000211,53
E05000212,27
E05000213,100
E05000214,100
E05000215,100
E05000216,67
E05000217,46
E05000218,96
E05000219,99
E05000220,89
E05000221,93
E05000222,100
E05000223,74
E05000224,95
E05000225,82
E05000226,100
E05000227,100
E05000228,100
E05000229,80
E05000230,60
E05000231,100
E05000232,100
E05000233,73
E05000234,98
E05000235,0
E05000236,33
E05000237,8
E05000238,98
E05000239,73
E05000240,2
E05000241,100
E05000242,100
E05000243,100
E05000244,100
E05000245,54
E05000246,100
E05000247,69
E05000248,100
E05000249,100
E05000250,19
E05000251,89
E05000252,8
E05000253,100
E05000254,62
E05000255,15
E05000256,95
E05000257,89
E05000258,26
E05000259,100
E05000260,56
E05000261,100
E05000262,6
E05000263,95
E05000264,77
E05000265,89
E05000266,100
E05000267,100
E05000268,52
E05000269,100
E05000270,100
E05000271,100
E05000272,100
E05000273,99
E05000274,100
E05000275,41
E05000276,93
E05000277,58
E05000278,100
E05000279,98
E05000280,51
E05000281,99
E05000282,38
E05000283,87
E05000284,46
E05000285,99
E05000286,96
E05000287,55
E05000288,64
E05000289,81
E05000290,74
E05000291,95
E05000292,85
E05000293,22
E05000294,48
E05000295,45
E05000296,4
E05000297,100
E05000298,100
E05000299,14
E05000300,75
E05000301,19
E05000302,37
E05000303,100
E05000304,5
E05000305,72
E05000306,21
E05000307,68
E05000308,100
E05000309,9
E05000310,100
E05000311,86
E05000312,82
E05000313,98
E05000314,29
E05000315,52
E05000316,75
E05000317,41
E05000318,76
E05000319,29
E05000320,15
E05000321,97
E05000322,13
E05000323,70
E05000324,100
E05000325,75
E05000326,72
E05000327,100
E05000328,75
E05000329,95
E05000330,100
E05000331,42
E05000332,99
E05000333,100
E05000334,83
E05000335,91
E05000336,100
E05000337,0
E05000338,64
E05000339,97
E05000340,93
E05000341,100
E05000342,78
E05000343,94
E05000344,100
E05000345,100
E05000346,100
E05000347,85
E05000348,95
E05000349,100
E05000350,83
E05000351,100
E05000352,100
E05000353,100
E05000354,100
E05000355,17
E05000356,66
E05000357,45
E05000358,14
E05000359,57
E05000360,69
E05000361,51
E05000362,100
E05000363,87
E05000364,76
E05000365,100
E05000366,32
E05000367,0
E05000368,57
E05000369,100
E05000370,0
E05000371,72
E05000372,97
E05000373,98
E05000374,100
E05000375,86
E05000376,74
E05000377,83
E05000378,28
E05000379,89
E05000380,68
E05000381,97
E05000382,100
E05000383,97
E05000384,100
E05000385,76
E05000386,99
E05000387,100
E05000388,100
E05000389,100
E05000390,75
E05000391,100
E05000392,72
E05000393,33
E05000394,94
E05000395,100
E05000396,100
E05000397,100
E05000398,99
E05000399,83
E05000400,100
E05000401,100
E05000402,60
E05000403,97
E05000404,38
E05000405,96
E05000406,88
E05000407,25
E05000408,41
E05000409,5
E05000410,84
E05000411,29
E05000412,65
E05000413,97
E05000414,61
E05000415,100
E05000416,10
E05000417,59
E05000418,90
E05000419,100
E05000420,64
E05000421,30
E05000422,76
E05000423,100
E05000424,95
