Ward_Code,Fatal,Serious,Slight
E05009367,1,1,25
E05009368,0,1,45
E05009369,0,2,17
E05009370,0,2,53
E05009371,0,1,38
E05009372,0,3,67
E05009373,1,3,48
E05009374,1,1,54
E05009375,0,0,32
E05009376,0,5,47
E05009377,0,11,129
E05009378,0,1,41
E05009379,1,0,12
E05009380,0,1,38
E05009381,0,2,44
E05009382,0,2,28
E05009383,1,4,56
E05009384,0,0,33
E05009385,1,2,46
E05009386,0,1,22
E05009387,1,6,49
E05009388,0,3,54
E05009389,0,8,93
E05009390,0,4,46
E05009391,1,6,66
E05009392,0,0,12
E05009393,0,4,41
E05009394,0,6,31
E05009395,1,3,40
E05009396,0,0,19
E05009397,0,6,57
E05009398,0,2,32
E05009399,0,6,26
E05009400,0,3,30
E05009401,0,1,38
E05009402,0,7,36
E05009403,0,7,61
E05009404,0,1,37
E05009405,0,6,52
E05009317,1,6,56
E05009318,0,1,22
E05009319,0,3,45
E05009320,0,4,49
E05009321,1,6,47
E05009322,0,0,22
E05009323,0,3,33
E05009324,0,0,17
E05009325,1,2,66
E05009326,0,3,20
E05009327,0,4,88
E05009328,1,4,96
E05009329,0,3,46
E05009330,1,1,64
E05009331,0,3,72
E05009332,1,6,101
E05009333,0,9,93
E05009334,0,4,28
E05009335,0,8,54
E05009336,1,9,118
E09000001,5,52,352
E05000026,0,2,56
E05000027,0,1,26
E05000028,0,3,30
E05000029,2,4,42
E05000030,0,2,12
E05000031,0,5,52
E05000032,0,2,37
E05000033,0,1,16
E05000034,0,3,22
E05000035,0,2,25
E05000036,0,1,24
E05000037,0,2,28
E05000038,0,1,33
E05000039,0,3,107
E05000040,0,3,32
E05000041,0,2,17
E05000042,0,1,43
E05000043,0,0,23
E05000044,0,8,36
E05000045,0,6,76
E05000046,0,0,25
E05000047,0,5,60
E05000048,0,2,15
E05000049,0,1,44
E05000050,0,2,76
E05000051,1,4,55
E05000052,1,6,67
E05000053,0,6,88
E05000054,0,4,43
E05000055,0,4,85
E05000056,2,2,34
E05000057,0,6,98
E05000058,0,3,27
E05000059,0,3,34
E05000060,0,4,25
E05000061,0,7,32
E05000062,1,9,113
E05000063,0,2,39
E05000064,0,1,33
E05000065,0,0,27
E05000066,0,0,15
E05000067,0,1,33
E05000068,0,1,30
